condition,n,mean,std,min,max
nod_no_pmc,22,0.9665834872727271,0.47544154990581333,0.35368636,1.9999717
nod_pmc_wore,22,0.8364376981818181,0.50214762343403,0.21663833,2.0830963
nod_pmc_wre,22,0.7106423345454548,0.4118195626653191,0.20985578,1.8929906
shake_no_pmc,22,1.028444165,0.6671400246305533,0.3792693,3.1882873
shake_pmc_wore,22,0.9980400649999996,0.6983326529132405,0.2617882,2.6098719
shake_pmc_wre,22,0.8896269745454546,0.6055528237060143,0.24325207,2.2225657
still_no_pmc,22,0.48481992681818176,0.1938504027223097,0.1446942,1.0080358
still_pmc,22,0.5987029531818183,0.34449683288410543,0.19208147,1.5187677
